date,TCI,NET_BTC,NET_ETH,NET_SPX,NET_DJI,NET_GOLD
2021-12-31,74.34033386943561,0.7214572962376602,0.4612809237723247,-1.3008483542216331,-0.8425686633961796,0.9606787976078279
2022-01-28,79.183359325682,0.8150143820380286,0.9559221543079606,-1.8832629678938058,-0.88086211001027,0.9931885415580867
2022-02-25,76.8059549386996,0.8643893706124259,0.7621010117341568,-1.7969128528292797,-0.823494104792232,0.9939165752749286
2022-03-25,78.94223235846653,0.811864655723723,-0.7848483378158105,0.6488169504153993,0.8072794872304367,-1.4831127555537487
2022-04-22,79.74486058243627,0.9781003113739932,0.24150292817300434,0.36694764958590775,-2.2914401272435025,0.7048892381105974
2022-05-20,79.93953560557753,0.8935246115983744,0.9698621811311839,0.9701024861405877,0.27884459040582665,-3.1123338692759726
2022-06-17,79.97525280329408,0.552212576485676,0.8137586263303366,0.5079430891122665,0.9536072173083566,-2.827521509236636
2022-07-15,79.9720396116316,0.0009282572941692324,0.47350439230019636,-0.3642748192661276,0.8113817884848107,-0.9215396188130486
2022-08-12,79.99382328795647,-0.5011311156458549,-0.18390050373960354,-1.0769004522226475,0.7995206180801502,0.9624114535279558
2022-09-09,79.91133638048326,-0.8771714284793122,0.2648464345622171,-1.195376981485052,0.8762315960832072,0.9314703793189392
2022-10-07,79.55372953462548,-1.2717943413375379,0.40826827842764885,-0.9534039572211926,0.9715036040822178,0.8454264160488638
2022-11-04,79.99837857097421,0.16485858096142125,0.9822077902402135,0.1878068965116042,0.7933675090714754,-2.1282407767847142
2022-12-02,80.0009417218694,0.5680746592968563,0.9816717553849748,0.457027670247114,0.4025687722904582,-2.409342857219403
2022-12-30,79.9994397596363,0.8808938105283323,0.829274765739254,0.7288444615324339,0.561649289253648,-3.0006623270536683
2023-01-27,79.99818557497505,0.9879677307527773,0.418647462593076,0.961681687255293,0.31423190697829206,-2.6825287875794386
2023-02-24,79.99687185980466,-0.7047800883279224,0.6237689714514605,0.2403929886850733,0.583889950989579,-0.7432718227981905
2023-03-24,79.86518169751247,-1.688815802390054,0.9070208726797481,-0.6831396590187396,0.8644663783288363,0.6004682104002093
2023-04-21,79.62548990083927,-0.5062076046731727,0.8938611157843853,-1.3591431927852562,0.732641997690341,0.23884768398370249
2023-05-19,77.07834510803771,-0.5618087209309447,0.3729595956365259,-0.43086740311709115,0.260810397362923,0.35890613104858693
2023-06-16,78.03059516180058,-0.5876601237749667,0.12782077089734145,-0.27897818300370447,0.22700163306346355,0.5118159028178659
2023-07-14,76.13227979931797,-0.4753193013472945,0.010155417602073169,-0.311902919471195,0.20265684189461863,0.5744099613217977
2023-08-11,74.25675605178571,0.07388190499921721,0.16044700729999462,-0.5343204519405408,0.048408867255009036,0.2515826723863198
2023-09-08,71.71228068840307,0.041513467866850395,0.07545236930837107,-0.6466399254918916,-0.016475933802862497,0.5461500221195328
2023-10-06,72.86387478230294,0.3505455519177537,0.3570397866795243,-1.2068590332796485,-0.13090774848884446,0.630181443171215
2023-11-03,70.0789672678906,0.3929095789539528,0.3980814028218819,-1.1559679796920843,-0.15250912258960692,0.5174861205058563
2023-12-01,73.09813295859584,0.002676048589660751,0.18209398606289046,-0.5930565217765291,0.20019972693488997,0.208086760189088
2023-12-29,75.92859797637502,-0.42964747415340454,-0.06379406381669295,-0.2863744537290902,0.34849216392342053,0.4313238277757676
